"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value","lambda"
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.23442211528468113,0.6000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5449089431303182,0.6000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7474119219173065,0.6000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.7577174362575737,0.6000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4954804460549315,0.6000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.776897016788978,0.7000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.19914131303240812,0.7000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5432517075962767,0.7000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7869975998375476,0.7000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.7942345558227186,0.7000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5036153890514053,0.7000000000000001
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.8088121119138109,0.8
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.17460513207370962,0.8
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5523964826830242,0.8
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.8127756703579853,0.8
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.8141561603115163,0.8
