"Model","m","n","phi","q","p","S","TopKList","MaxRank","lambda","Rule","Metric","Value"
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","Top3Acceptability",1.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","NeverFirstRate",0.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","NoiseFlipRate",0.691
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","CondorcetExistRate",0.9035
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","CondorcetEfficiency",0.5733259546209186
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","MidScore",0.694
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","Top1Acceptability",0.3214215686274507
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","Top2Acceptability",0.744666666666666
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"QR","Top3Acceptability",1.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"SDM","NeverFirstRate",0.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"SDM","NoiseFlipRate",0.5275
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"SDM","CondorcetExistRate",0.9035
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"SDM","CondorcetEfficiency",0.8179302711676812
