"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"CondorcetEfficiency",0.11442786069651742
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"MidScore",0.9973333333333334
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"Top1Acceptability",0.0338725490196078
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"Top2Acceptability",0.08703921568627437
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"Gap",0.592818695193695
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"CondorcetEfficiency",0.1791044776119403
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"MidScore",0.9231666666666671
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.95,,"Top1Acceptability",0.039509803921568575
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.95,,"Top2Acceptability",0.12221568627450964
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.95,,"Gap",0.636104439607688
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.95,,"CondorcetEfficiency",0.24975124378109453
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.95,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.95,,"MidScore",0.7903333333333338
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.55,,"Top1Acceptability",0.017950980392156854
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.55,,"Top2Acceptability",0.050470588235294045
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.55,,"Gap",0.5912770159148419
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.55,,"CondorcetEfficiency",0.15456674473067916
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.55,,"CondorcetExistRate",0.427
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.55,,"MidScore",0.9953333333333333
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.6666666666666666,,"Top1Acceptability",0.01735294117647058
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.6666666666666666,,"Top2Acceptability",0.04826470588235287
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.6666666666666666,,"Gap",0.5898011904761904
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.6666666666666666,,"CondorcetEfficiency",0.14402810304449648
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.6666666666666666,,"CondorcetExistRate",0.427
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.6666666666666666,,"MidScore",0.9993333333333333
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.8,,"Top1Acceptability",0.01899019607843136
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.8,,"Top2Acceptability",0.05533333333333325
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.8,,"Gap",0.606188474025974
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.8,,"CondorcetEfficiency",0.19672131147540983
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.8,,"CondorcetExistRate",0.427
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.8,,"MidScore",0.9636666666666669
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.95,,"Top1Acceptability",0.023196078431372526
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.95,,"Top2Acceptability",0.0767156862745097
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.95,,"Gap",0.6399718066554151
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.95,,"CondorcetEfficiency",0.24473067915690866
"OppPrefs",7,51,0.15,2000,"Automatic",0.9,"QR",0.95,,"CondorcetExistRate",0.427
